scan_id,prn,system_char,channel,cn0_dBHz,selected_doppler_hz,selected_bin,bin_index,doppler_hz,power
0,6,71,5,50.2499,-1250,11,0,-2625,6.66839e+10
0,6,71,5,50.2499,-1250,11,1,-2500,4.17265e+10
0,6,71,5,50.2499,-1250,11,2,-2375,2.20303e+10
0,6,71,5,50.2499,-1250,11,3,-2250,1.77757e+10
0,6,71,5,50.2499,-1250,11,4,-2125,7.65974e+10
0,6,71,5,50.2499,-1250,11,5,-2000,1.79099e+11
0,6,71,5,50.2499,-1250,11,6,-1875,3.63101e+11
0,6,71,5,50.2499,-1250,11,7,-1750,5.95752e+11
0,6,71,5,50.2499,-1250,11,8,-1625,8.18091e+11
0,6,71,5,50.2499,-1250,11,9,-1500,1.11521e+12
0,6,71,5,50.2499,-1250,11,10,-1375,1.15654e+12
0,6,71,5,50.2499,-1250,11,11,-1250,1.20474e+12
0,6,71,5,50.2499,-1250,11,12,-1125,9.95243e+11
0,6,71,5,50.2499,-1250,11,13,-1000,8.14081e+11
0,6,71,5,50.2499,-1250,11,14,-875,6.06379e+11
0,6,71,5,50.2499,-1250,11,15,-750,3.82743e+11
0,6,71,5,50.2499,-1250,11,16,-625,2.02538e+11
0,6,71,5,50.2499,-1250,11,17,-500,9.8751e+10
0,6,71,5,50.2499,-1250,11,18,-375,3.3921e+10
1,7,71,6,48.0397,1875,8,0,875,2.33982e+10
1,7,71,6,48.0397,1875,8,1,1000,4.55456e+10
1,7,71,6,48.0397,1875,8,2,1125,1.45632e+11
1,7,71,6,48.0397,1875,8,3,1250,3.34579e+11
1,7,71,6,48.0397,1875,8,4,1375,5.28601e+11
1,7,71,6,48.0397,1875,8,5,1500,7.47817e+11
1,7,71,6,48.0397,1875,8,6,1625,1.01369e+12
1,7,71,6,48.0397,1875,8,7,1750,1.12659e+12
1,7,71,6,48.0397,1875,8,8,1875,1.20121e+12
1,7,71,6,48.0397,1875,8,9,2000,1.16139e+12
1,7,71,6,48.0397,1875,8,10,2125,9.36082e+11
1,7,71,6,48.0397,1875,8,11,2250,6.56896e+11
1,7,71,6,48.0397,1875,8,12,2375,4.35291e+11
1,7,71,6,48.0397,1875,8,13,2500,2.80466e+11
1,7,71,6,48.0397,1875,8,14,2625,1.05335e+11
1,7,71,6,48.0397,1875,8,15,2750,3.88946e+10
1,7,71,6,48.0397,1875,8,16,2875,2.42318e+10
1,7,71,6,48.0397,1875,8,17,3000,3.75206e+10
1,7,71,6,48.0397,1875,8,18,3125,5.72927e+10
2,9,71,7,52.4938,-625,8,0,-1625,2.37675e+10
2,9,71,7,52.4938,-625,8,1,-1500,7.38095e+10
2,9,71,7,52.4938,-625,8,2,-1375,1.5713e+11
2,9,71,7,52.4938,-625,8,3,-1250,3.32116e+11
2,9,71,7,52.4938,-625,8,4,-1125,5.90587e+11
2,9,71,7,52.4938,-625,8,5,-1000,9.65848e+11
2,9,71,7,52.4938,-625,8,6,-875,1.31376e+12
2,9,71,7,52.4938,-625,8,7,-750,1.49172e+12
2,9,71,7,52.4938,-625,8,8,-625,1.91258e+12
2,9,71,7,52.4938,-625,8,9,-500,1.60909e+12
2,9,71,7,52.4938,-625,8,10,-375,1.43388e+12
2,9,71,7,52.4938,-625,8,11,-250,1.04284e+12
2,9,71,7,52.4938,-625,8,12,-125,6.93549e+11
2,9,71,7,52.4938,-625,8,13,0,4.38814e+11
2,9,71,7,52.4938,-625,8,14,125,2.04589e+11
2,9,71,7,52.4938,-625,8,15,250,6.85149e+10
2,9,71,7,52.4938,-625,8,16,375,2.78505e+10
2,9,71,7,52.4938,-625,8,17,500,2.43595e+10
2,9,71,7,52.4938,-625,8,18,625,5.3079e+10
3,11,71,1,48.25,1375,8,0,375,1.95011e+10
3,11,71,1,48.25,1375,8,1,500,2.67097e+10
3,11,71,1,48.25,1375,8,2,625,8.37475e+10
3,11,71,1,48.25,1375,8,3,750,1.66523e+11
3,11,71,1,48.25,1375,8,4,875,3.27978e+11
3,11,71,1,48.25,1375,8,5,1000,5.11454e+11
3,11,71,1,48.25,1375,8,6,1125,6.79687e+11
3,11,71,1,48.25,1375,8,7,1250,7.61086e+11
3,11,71,1,48.25,1375,8,8,1375,8.4238e+11
3,11,71,1,48.25,1375,8,9,1500,7.3667e+11
3,11,71,1,48.25,1375,8,10,1625,6.82393e+11
3,11,71,1,48.25,1375,8,11,1750,4.77221e+11
3,11,71,1,48.25,1375,8,12,1875,3.20073e+11
3,11,71,1,48.25,1375,8,13,2000,2.0317e+11
3,11,71,1,48.25,1375,8,14,2125,8.2237e+10
3,11,71,1,48.25,1375,8,15,2250,3.22713e+10
3,11,71,1,48.25,1375,8,16,2375,2.84281e+10
