scan_id,prn,system_char,channel,cn0_dBHz,selected_doppler_hz,selected_bin,bin_index,doppler_hz,power
5,13,69,20,44.7415,-868,2,0,-930,2.91163e+12
5,13,69,20,44.7415,-868,2,1,-899,3.42815e+12
5,13,69,20,44.7415,-868,2,2,-868,3.69169e+12
5,13,69,20,44.7415,-868,2,3,-837,3.27483e+12
5,13,69,20,44.7415,-868,2,4,-806,2.87969e+12
5,13,69,20,44.7415,-868,2,5,-775,2.34927e+12
5,13,69,20,44.7415,-868,2,6,-744,1.56139e+12
5,13,69,20,44.7415,-868,2,7,-713,6.67255e+11
5,13,69,20,44.7415,-868,2,8,-682,2.70703e+11
8,26,69,22,47.3546,1930,6,0,1744,1.82314e+11
8,26,69,22,47.3546,1930,6,1,1775,3.03027e+11
8,26,69,22,47.3546,1930,6,2,1806,5.73311e+11
8,26,69,22,47.3546,1930,6,3,1837,9.35229e+11
8,26,69,22,47.3546,1930,6,4,1868,1.12809e+12
8,26,69,22,47.3546,1930,6,5,1899,1.2802e+12
8,26,69,22,47.3546,1930,6,6,1930,1.41176e+12
8,26,69,22,47.3546,1930,6,7,1961,1.2766e+12
8,26,69,22,47.3546,1930,6,8,1992,1.10581e+12
9,32,69,23,48.9703,-1349,0,0,-1349,2.56028e+12
9,32,69,23,48.9703,-1349,0,1,-1318,2.07998e+12
9,32,69,23,48.9703,-1349,0,2,-1287,1.39467e+12
9,32,69,23,48.9703,-1349,0,3,-1256,8.18969e+11
9,32,69,23,48.9703,-1349,0,4,-1225,3.1934e+11
9,32,69,23,48.9703,-1349,0,5,-1194,7.84132e+10
9,32,69,23,48.9703,-1349,0,6,-1163,1.29224e+10
9,32,69,23,48.9703,-1349,0,7,-1132,2.40023e+10
9,32,69,23,48.9703,-1349,0,8,-1101,1.49841e+11
10,15,69,21,42.8597,-3027,3,0,-3120,8.40228e+11
10,15,69,21,42.8597,-3027,3,1,-3089,1.0358e+12
10,15,69,21,42.8597,-3027,3,2,-3058,1.16226e+12
10,15,69,21,42.8597,-3027,3,3,-3027,1.16978e+12
10,15,69,21,42.8597,-3027,3,4,-2996,9.91014e+11
10,15,69,21,42.8597,-3027,3,5,-2965,6.58487e+11
10,15,69,21,42.8597,-3027,3,6,-2934,5.67473e+11
10,15,69,21,42.8597,-3027,3,7,-2903,2.81661e+11
10,15,69,21,42.8597,-3027,3,8,-2872,1.01875e+11
11,7,69,25,47.1928,2078,7,0,1861,2.0758e+11
11,7,69,25,47.1928,2078,7,1,1892,4.71489e+11
11,7,69,25,47.1928,2078,7,2,1923,6.66057e+11
11,7,69,25,47.1928,2078,7,3,1954,1.2431e+12
11,7,69,25,47.1928,2078,7,4,1985,1.29717e+12
11,7,69,25,47.1928,2078,7,5,2016,1.65764e+12
11,7,69,25,47.1928,2078,7,6,2047,1.58846e+12
11,7,69,25,47.1928,2078,7,7,2078,1.87176e+12
11,7,69,25,47.1928,2078,7,8,2109,1.24918e+12
12,8,69,26,40.3599,-183,0,0,-183,1.691e+12
12,8,69,26,40.3599,-183,0,1,-152,1.28671e+12
12,8,69,26,40.3599,-183,0,2,-121,8.52596e+11
12,8,69,26,40.3599,-183,0,3,-90,4.85503e+11
12,8,69,26,40.3599,-183,0,4,-59,2.42988e+11
12,8,69,26,40.3599,-183,0,5,-28,6.13656e+10
12,8,69,26,40.3599,-183,0,6,3,2.2235e+10
12,8,69,26,40.3599,-183,0,7,34,4.16672e+10
12,8,69,26,40.3599,-183,0,8,65,8.72726e+10
13,3,69,24,44.893,-2354,6,0,-2540,1.01943e+11
13,3,69,24,44.893,-2354,6,1,-2509,3.52799e+11
13,3,69,24,44.893,-2354,6,2,-2478,6.58425e+11
13,3,69,24,44.893,-2354,6,3,-2447,8.18742e+11
13,3,69,24,44.893,-2354,6,4,-2416,1.14802e+12
13,3,69,24,44.893,-2354,6,5,-2385,1.18291e+12
13,3,69,24,44.893,-2354,6,6,-2354,1.43813e+12
13,3,69,24,44.893,-2354,6,7,-2323,1.29812e+12
13,3,69,24,44.893,-2354,6,8,-2292,1.14425e+12
14,32,69,23,48.0522,-1444,5,0,-1599,4.15592e+11
14,32,69,23,48.0522,-1444,5,1,-1568,1.0877e+12
14,32,69,23,48.0522,-1444,5,2,-1537,1.80449e+12
14,32,69,23,48.0522,-1444,5,3,-1506,2.64267e+12
14,32,69,23,48.0522,-1444,5,4,-1475,3.10719e+12
14,32,69,23,48.0522,-1444,5,5,-1444,3.66628e+12
14,32,69,23,48.0522,-1444,5,6,-1413,3.45998e+12
14,32,69,23,48.0522,-1444,5,7,-1382,3.30852e+12
14,32,69,23,48.0522,-1444,5,8,-1351,2.76656e+12
15,8,69,26,53.2743,-247,6,0,-433,5.652e+11
15,8,69,26,53.2743,-247,6,1,-402,1.31491e+12
15,8,69,26,53.2743,-247,6,2,-371,1.84227e+12
15,8,69,26,53.2743,-247,6,3,-340,2.70164e+12
15,8,69,26,53.2743,-247,6,4,-309,3.20719e+12
15,8,69,26,53.2743,-247,6,5,-278,3.77685e+12
15,8,69,26,53.2743,-247,6,6,-247,4.12914e+12
15,8,69,26,53.2743,-247,6,7,-216,3.57588e+12
15,8,69,26,53.2743,-247,6,8,-185,3.16729e+12
23,13,69,20,45.6638,-1070,2,0,-1132,2.92961e+12
23,13,69,20,45.6638,-1070,2,1,-1101,3.42991e+12
23,13,69,20,45.6638,-1070,2,2,-1070,4.19107e+12
23,13,69,20,45.6638,-1070,2,3,-1039,3.73929e+12
23,13,69,20,45.6638,-1070,2,4,-1008,3.3694e+12
23,13,69,20,45.6638,-1070,2,5,-977,2.51951e+12
23,13,69,20,45.6638,-1070,2,6,-946,1.63847e+12
23,13,69,20,45.6638,-1070,2,7,-915,8.70652e+11
23,13,69,20,45.6638,-1070,2,8,-884,3.6127e+11
24,15,69,21,35.5828,-3068,0,0,-3068,3.34208e+11
24,15,69,21,35.5828,-3068,0,1,-3037,2.07425e+11
24,15,69,21,35.5828,-3068,0,2,-3006,1.95903e+11
24,15,69,21,35.5828,-3068,0,3,-2975,1.24426e+11
24,15,69,21,35.5828,-3068,0,4,-2944,6.75984e+10
24,15,69,21,35.5828,-3068,0,5,-2913,4.90632e+10
24,15,69,21,35.5828,-3068,0,6,-2882,7.94825e+09
24,15,69,21,35.5828,-3068,0,7,-2851,1.15106e+10
24,15,69,21,35.5828,-3068,0,8,-2820,3.15336e+10
25,32,69,23,51.0782,-1538,1,0,-1569,2.69381e+12
25,32,69,23,51.0782,-1538,1,1,-1538,3.17765e+12
25,32,69,23,51.0782,-1538,1,2,-1507,2.89663e+12
25,32,69,23,51.0782,-1538,1,3,-1476,3.057e+12
25,32,69,23,51.0782,-1538,1,4,-1445,2.33883e+12
25,32,69,23,51.0782,-1538,1,5,-1414,1.80349e+12
25,32,69,23,51.0782,-1538,1,6,-1383,1.33465e+12
25,32,69,23,51.0782,-1538,1,7,-1352,6.55661e+11
25,32,69,23,51.0782,-1538,1,8,-1321,2.55418e+11
26,26,69,22,45.7737,1812,7,0,1595,2.06242e+11
26,26,69,22,45.7737,1812,7,1,1626,4.8363e+11
26,26,69,22,45.7737,1812,7,2,1657,6.3017e+11
26,26,69,22,45.7737,1812,7,3,1688,1.05979e+12
26,26,69,22,45.7737,1812,7,4,1719,1.31385e+12
26,26,69,22,45.7737,1812,7,5,1750,1.48282e+12
26,26,69,22,45.7737,1812,7,6,1781,1.60235e+12
26,26,69,22,45.7737,1812,7,7,1812,1.62934e+12
26,26,69,22,45.7737,1812,7,8,1843,1.37739e+12
27,8,69,26,50.1844,-309,0,0,-309,2.76939e+12
27,8,69,26,50.1844,-309,0,1,-278,2.21518e+12
27,8,69,26,50.1844,-309,0,2,-247,1.41241e+12
27,8,69,26,50.1844,-309,0,3,-216,7.27988e+11
27,8,69,26,50.1844,-309,0,4,-185,3.43831e+11
27,8,69,26,50.1844,-309,0,5,-154,9.1408e+10
27,8,69,26,50.1844,-309,0,6,-123,2.16324e+10
27,8,69,26,50.1844,-309,0,7,-92,5.929e+10
27,8,69,26,50.1844,-309,0,8,-61,1.31465e+11
28,7,69,25,39.6039,1890,8,0,1642,5.42831e+10
28,7,69,25,39.6039,1890,8,1,1673,3.31783e+10
28,7,69,25,39.6039,1890,8,2,1704,1.88166e+10
28,7,69,25,39.6039,1890,8,3,1735,4.00136e+10
28,7,69,25,39.6039,1890,8,4,1766,1.23353e+11
28,7,69,25,39.6039,1890,8,5,1797,1.86058e+11
28,7,69,25,39.6039,1890,8,6,1828,3.5412e+11
28,7,69,25,39.6039,1890,8,7,1859,4.57626e+11
28,7,69,25,39.6039,1890,8,8,1890,5.56691e+11
29,3,69,24,47.836,-2422,5,0,-2577,1.13725e+11
29,3,69,24,47.836,-2422,5,1,-2546,1.7941e+11
29,3,69,24,47.836,-2422,5,2,-2515,3.81327e+11
29,3,69,24,47.836,-2422,5,3,-2484,6.72665e+11
29,3,69,24,47.836,-2422,5,4,-2453,7.70426e+11
29,3,69,24,47.836,-2422,5,5,-2422,8.69507e+11
29,3,69,24,47.836,-2422,5,6,-2391,6.73056e+11
29,3,69,24,47.836,-2422,5,7,-2360,7.92407e+11
29,3,69,24,47.836,-2422,5,8,-2329,7.11996e+11
30,15,69,21,39.7133,-3132,6,0,-3318,7.21698e+10
30,15,69,21,39.7133,-3132,6,1,-3287,2.63494e+11
30,15,69,21,39.7133,-3132,6,2,-3256,5.05381e+11
30,15,69,21,39.7133,-3132,6,3,-3225,5.88824e+11
30,15,69,21,39.7133,-3132,6,4,-3194,7.01037e+11
30,15,69,21,39.7133,-3132,6,5,-3163,8.3746e+11
30,15,69,21,39.7133,-3132,6,6,-3132,9.52249e+11
30,15,69,21,39.7133,-3132,6,7,-3101,8.45233e+11
30,15,69,21,39.7133,-3132,6,8,-3070,7.86592e+11
31,8,69,26,44.3303,-404,5,0,-559,3.04672e+11
31,8,69,26,44.3303,-404,5,1,-528,7.65308e+11
31,8,69,26,44.3303,-404,5,2,-497,1.30292e+12
31,8,69,26,44.3303,-404,5,3,-466,2.12211e+12
31,8,69,26,44.3303,-404,5,4,-435,2.56253e+12
31,8,69,26,44.3303,-404,5,5,-404,3.23715e+12
31,8,69,26,44.3303,-404,5,6,-373,3.11323e+12
31,8,69,26,44.3303,-404,5,7,-342,2.75179e+12
31,8,69,26,44.3303,-404,5,8,-311,2.45e+12
39,13,69,20,53.8837,-1115,2,0,-1177,2.34183e+12
39,13,69,20,53.8837,-1115,2,1,-1146,2.86516e+12
39,13,69,20,53.8837,-1115,2,2,-1115,3.22354e+12
39,13,69,20,53.8837,-1115,2,3,-1084,2.95615e+12
39,13,69,20,53.8837,-1115,2,4,-1053,2.55456e+12
39,13,69,20,53.8837,-1115,2,5,-1022,1.98681e+12
39,13,69,20,53.8837,-1115,2,6,-991,1.17481e+12
39,13,69,20,53.8837,-1115,2,7,-960,6.30232e+11
39,13,69,20,53.8837,-1115,2,8,-929,2.71797e+11
40,26,69,22,51.1447,1746,2,0,1684,1.71484e+12
40,26,69,22,51.1447,1746,2,1,1715,1.64629e+12
40,26,69,22,51.1447,1746,2,2,1746,1.77331e+12
40,26,69,22,51.1447,1746,2,3,1777,1.62981e+12
40,26,69,22,51.1447,1746,2,4,1808,1.45953e+12
40,26,69,22,51.1447,1746,2,5,1839,1.16761e+12
40,26,69,22,51.1447,1746,2,6,1870,6.63557e+11
40,26,69,22,51.1447,1746,2,7,1901,5.07951e+11
40,26,69,22,51.1447,1746,2,8,1932,2.31789e+11
41,32,69,23,44.3333,-1505,6,0,-1691,6.19421e+11
41,32,69,23,44.3333,-1505,6,1,-1660,1.14786e+12
41,32,69,23,44.3333,-1505,6,2,-1629,2.05766e+12
41,32,69,23,44.3333,-1505,6,3,-1598,2.8702e+12
41,32,69,23,44.3333,-1505,6,4,-1567,3.20102e+12
41,32,69,23,44.3333,-1505,6,5,-1536,3.04608e+12
41,32,69,23,44.3333,-1505,6,6,-1505,3.33918e+12
