scan_id,prn,system_char,channel,cn0_dBHz,selected_doppler_hz,selected_bin,bin_index,doppler_hz,power
14,11,71,10,48.4804,1031,5,0,-219,9.3734e+10
14,11,71,10,48.4804,1031,5,1,31,5.13878e+10
14,11,71,10,48.4804,1031,5,2,281,4.97049e+11
14,11,71,10,48.4804,1031,5,3,531,1.88077e+12
14,11,71,10,48.4804,1031,5,4,781,2.73196e+12
14,11,71,10,48.4804,1031,5,5,1031,3.28978e+12
14,11,71,10,48.4804,1031,5,6,1281,3.1021e+12
14,11,71,10,48.4804,1031,5,7,1531,1.64786e+12
14,11,71,10,48.4804,1031,5,8,1781,4.18906e+11
15,9,71,15,48.494,-444,3,0,-1194,1.33589e+12
15,9,71,15,48.494,-444,3,1,-944,2.13535e+12
15,9,71,15,48.494,-444,3,2,-694,2.54263e+12
15,9,71,15,48.494,-444,3,3,-444,2.75038e+12
15,9,71,15,48.494,-444,3,4,-194,2.18832e+12
15,9,71,15,48.494,-444,3,5,56,1.75927e+12
15,9,71,15,48.494,-444,3,6,306,1.47916e+12
15,9,71,15,48.494,-444,3,7,556,7.58448e+11
15,9,71,15,48.494,-444,3,8,806,3.05787e+11
16,6,71,14,43.1032,-721,6,0,-2221,5.23743e+11
16,6,71,14,43.1032,-721,6,1,-1971,6.10674e+11
16,6,71,14,43.1032,-721,6,2,-1721,7.61585e+11
16,6,71,14,43.1032,-721,6,3,-1471,6.66818e+11
16,6,71,14,43.1032,-721,6,4,-1221,7.0072e+11
16,6,71,14,43.1032,-721,6,5,-971,6.89246e+11
16,6,71,14,43.1032,-721,6,6,-721,8.37128e+11
16,6,71,14,43.1032,-721,6,7,-471,8.09561e+11
16,6,71,14,43.1032,-721,6,8,-221,6.47257e+11
17,4,71,13,47.0918,-1800,5,0,-3050,4.90558e+10
17,4,71,13,47.0918,-1800,5,1,-2800,1.93393e+11
17,4,71,13,47.0918,-1800,5,2,-2550,5.91568e+11
17,4,71,13,47.0918,-1800,5,3,-2300,1.50333e+12
17,4,71,13,47.0918,-1800,5,4,-2050,2.44561e+12
17,4,71,13,47.0918,-1800,5,5,-1800,2.46389e+12
17,4,71,13,47.0918,-1800,5,6,-1550,2.13833e+12
17,4,71,13,47.0918,-1800,5,7,-1300,1.27589e+12
17,4,71,13,47.0918,-1800,5,8,-1050,5.55695e+11
18,21,71,11,41.0515,1800,5,0,550,5.35277e+10
18,21,71,11,41.0515,1800,5,1,800,4.21573e+10
18,21,71,11,41.0515,1800,5,2,1050,9.70473e+10
18,21,71,11,41.0515,1800,5,3,1300,2.21629e+11
18,21,71,11,41.0515,1800,5,4,1550,5.00766e+11
18,21,71,11,41.0515,1800,5,5,1800,6.21249e+11
18,21,71,11,41.0515,1800,5,6,2050,3.59883e+11
18,21,71,11,41.0515,1800,5,7,2300,1.18864e+11
18,21,71,11,41.0515,1800,5,8,2550,5.05265e+10
19,30,71,12,38.8374,2381,2,0,1881,3.49721e+11
19,30,71,12,38.8374,2381,2,1,2131,3.55436e+11
19,30,71,12,38.8374,2381,2,2,2381,4.68295e+11
19,30,71,12,38.8374,2381,2,3,2631,3.59812e+11
19,30,71,12,38.8374,2381,2,4,2881,2.18488e+11
19,30,71,12,38.8374,2381,2,5,3131,2.23198e+11
19,30,71,12,38.8374,2381,2,6,3381,1.92368e+11
19,30,71,12,38.8374,2381,2,7,3631,1.19377e+11
19,30,71,12,38.8374,2381,2,8,3881,6.07049e+10
21,6,71,14,44.6944,-1471,3,0,-2221,2.83091e+11
21,6,71,14,44.6944,-1471,3,1,-1971,4.26912e+11
21,6,71,14,44.6944,-1471,3,2,-1721,6.05915e+11
21,6,71,14,44.6944,-1471,3,3,-1471,8.14697e+11
21,6,71,14,44.6944,-1471,3,4,-1221,8.07669e+11
21,6,71,14,44.6944,-1471,3,5,-971,7.06804e+11
21,6,71,14,44.6944,-1471,3,6,-721,6.21726e+11
21,6,71,14,44.6944,-1471,3,7,-471,5.89947e+11
21,6,71,14,44.6944,-1471,3,8,-221,4.35726e+11
22,21,71,11,38.6911,1799,5,0,549,4.95028e+10
22,21,71,11,38.6911,1799,5,1,799,5.53903e+10
22,21,71,11,38.6911,1799,5,2,1049,4.49185e+10
22,21,71,11,38.6911,1799,5,3,1299,6.35735e+10
22,21,71,11,38.6911,1799,5,4,1549,2.38282e+11
22,21,71,11,38.6911,1799,5,5,1799,2.54341e+11
22,21,71,11,38.6911,1799,5,6,2049,9.29412e+10
22,21,71,11,38.6911,1799,5,7,2299,5.71937e+10
22,21,71,11,38.6911,1799,5,8,2549,4.4877e+10
23,6,71,14,42.594,-1721,2,0,-2221,3.5081e+11
23,6,71,14,42.594,-1721,2,1,-1971,6.89704e+11
23,6,71,14,42.594,-1721,2,2,-1721,7.77425e+11
23,6,71,14,42.594,-1721,2,3,-1471,6.58087e+11
23,6,71,14,42.594,-1721,2,4,-1221,7.00813e+11
23,6,71,14,42.594,-1721,2,5,-971,7.69811e+11
23,6,71,14,42.594,-1721,2,6,-721,6.81761e+11
23,6,71,14,42.594,-1721,2,7,-471,7.55096e+11
23,6,71,14,42.594,-1721,2,8,-221,6.15654e+11
24,21,71,11,40.3896,2299,5,0,1049,1.1522e+11
24,21,71,11,40.3896,2299,5,1,1299,1.76187e+11
24,21,71,11,40.3896,2299,5,2,1549,3.7229e+11
24,21,71,11,40.3896,2299,5,3,1799,5.71689e+11
24,21,71,11,40.3896,2299,5,4,2049,5.56008e+11
24,21,71,11,40.3896,2299,5,5,2299,6.88567e+11
24,21,71,11,40.3896,2299,5,6,2549,5.64666e+11
24,21,71,11,40.3896,2299,5,7,2799,3.82874e+11
24,21,71,11,40.3896,2299,5,8,3049,2.91048e+11
